小韻號,最簡描述,字頭,反切,切韻拼音
698,莊肴平,𦗔,側交,tsraew
699,知肴平,嘲,陟交,traew
700,初肴平,䜈,楚交,tsrhaew
701,並肴平,庖,薄交,baew
702,影肴平,䫜,於交,qaew
703,徹肴平,䫸,敕交,trhaew
704,來肴平,顟,力嘲,laew
705,澄肴平,䄻,直交,draew
706,匣豪平,豪,胡刀,ghaw
707,見豪平,高,古勞,kaw
708,來豪平,勞,魯刀,law
709,曉豪平,蒿,呼毛,haw
710,明豪平,毛,莫袍,maw
711,透豪平,饕,土刀,thaw
712,端豪平,刀,都牢,taw
713,心豪平,騷,蘇遭,saw
714,並豪平,袍,薄襃,baw
715,幫豪平,襃,博毛,paw
716,定豪平,陶,徒刀,daw
717,精豪平,糟,作曹,tsaw
718,疑豪平,敖,五勞,ngaw
719,從豪平,曹,昨勞,dzaw
720,影豪平,𤏶,於刀,qaw
721,泥豪平,猱,奴刀,naw
722,溪豪平,尻,苦刀,khaw
723,清豪平,操,七刀,tshaw
724,滂豪平,㯱,普袍,phaw
725,見開一歌平,歌,古俄,ka
726,清開一歌平,蹉,七何,tsha
727,端開一歌平,多,得何,ta
728,心開一歌平,娑,素何,sa
729,定開一歌平,駝,徒河,da
730,從開一歌平,醝,昨何,dza
731,疑開一歌平,莪,五何,nga
732,透開一歌平,佗,託何,tha
733,來開一歌平,羅,魯何,la
734,泥開一歌平,那,諾何,na
735,匣開一歌平,何,胡歌,gha
736,曉開一歌平,訶,虎何,ha
737,溪開一歌平,珂,苦何,kha
738,影開一歌平,阿,烏何,qa
739,見合一歌平,戈,古禾,kwa
740,清合一歌平,遳,七戈,tshwa
741,端合一歌平,𨹄,丁戈,twa
742,心合一歌平,莎,蘇禾,swa
743,並一歌平,婆,薄波,ba
744,定合一歌平,㸰,徒和,dwa
745,明一歌平,摩,莫婆,ma
746,從合一歌平,矬,昨禾,dzwa
747,疑合一歌平,訛,五禾,ngwa
748,透合一歌平,詑,土禾,thwa
749,來合一歌平,𩼊,落戈,lwa
750,泥合一歌平,捼,奴禾,nwa
751,幫一歌平,波,博禾,pa
752,滂一歌平,頗,滂禾,pha
753,匣合一歌平,和,戶戈,ghwa
754,溪合一歌平,科,苦禾,khwa
755,影合一歌平,倭,烏禾,qwa
756,曉合三歌平,鞾,許𦚢,hua
757,影合三歌平,𦚢,於靴,qua
758,溪合三歌平,𩨷,去靴,khua
759,羣開三歌平,伽,求迦,gya
760,溪開三歌平,佉,丘伽,khya
761,見開三歌平,迦,居伽,kya
762,清合一歌平,脞,醋伽,tshwa
763,精合一歌平,侳,子𩨷,tswa
764,羣合三歌平,瘸,巨靴,gua
765,來合三歌平,𦣛,縷𩨷,lua
766,明二麻平,麻,莫霞,mae
767,昌開三麻平,車,尺遮,tjhiae
768,書開三麻平,奢,式車,sjiae
769,以開三麻平,邪,以遮,jiae
770,章開三麻平,遮,正奢,tjiae
771,精開三麻平,嗟,子邪,tsiae
772,船開三麻平,蛇,食遮,zjiae
773,匣合二麻平,華,戶花,ghwae
774,見合二麻平,瓜,古華,kwae
775,曉合二麻平,華,呼瓜,hwae
776,溪合二麻平,誇,苦瓜,khwae
777,孃開二麻平,拏,女加,nrae
778,見開二麻平,嘉,古牙,kae
779,匣開二麻平,遐,胡加,ghae
780,滂二麻平,葩,普巴,phae
781,影開二麻平,鴉,於加,qae
782,幫二麻平,巴,伯加,pae
783,初開二麻平,叉,初牙,tsrhae
784,生開二麻平,鯊,所加,srae
785,疑開二麻平,牙,五加,ngae
786,莊開二麻平,樝,側加,tsrae
787,澄開二麻平,𡨀,宅加,drae
788,邪開三麻平,衺,似嗟,ziae
789,常開三麻平,闍,視遮,djiae
790,影合二麻平,窊,烏瓜,qwae
791,莊合二麻平,髽,莊華,tsrwae
792,知合二麻平,檛,陟瓜,trwae
793,並二麻平,爬,蒲巴,bae
794,崇開二麻平,楂,鉏加,dzrae
795,徹開二麻平,侘,敕加,trhae
796,知開二麻平,奓,陟加,trae
797,曉開二麻平,煆,許加,hae
798,溪開二麻平,䶗,苦加,khae
799,從開三麻平,㚗,才邪,dziae
800,日開三麻平,若,人賒,njiae
801,心開三麻平,些,寫邪,siae
802,端開三麻平,爹,陟邪,tiae
803,疑合二麻平,𣢉,五瓜,ngwae
804,溪開二麻平,𣘟,乞加,khae
805,以開陽平,陽,與章,jyang
806,邪開陽平,詳,似羊,zyang
807,來開陽平,良,呂張,lyang
808,曉開陽平,香,許良,hyang
809,書開陽平,商,式羊,sjyang
810,並陽平,房,符方,buang
811,章開陽平,章,諸良,tjyang
812,昌開陽平,昌,尺良,tjhyang
813,溪開陽平,羌,去羊,khyang
814,見開陽平,薑,居良,kyang
815,澄開陽平,長,直良,dryang
816,知開陽平,張,陟良,tryang
817,日開陽平,穰,汝陽,njyang
818,幫陽平,方,府良,puang
819,心開陽平,襄,息良,syang
820,精開陽平,將,即良,tsyang
821,初開陽平,創,初良,tsrhyang
822,明陽平,亡,武方,muang
823,孃開陽平,孃,女良,nryang
824,崇開陽平,牀,士莊,dzryang
825,莊開陽平,莊,側羊,tsryang
826,常開陽平,常,市羊,djyang
827,生開陽平,霜,色莊,sryang
828,從開陽平,牆,在良,dzyang
829,清開陽平,鏘,七羊,tshyang
830,溪合陽平,匡,去王,khuang
831,云合陽平,王,雨方,uang
832,影開陽平,央,於良,qyang
833,羣開陽平,強,巨良,gyang
834,徹開陽平,𦳝,褚羊,trhyang
835,滂陽平,芳,敷方,phuang
836,羣合陽平,狂,巨王,guang
837,定開唐平,唐,徒郎,dang
838,來開唐平,郎,魯當,lang
839,端開唐平,當,都郎,tang
840,清開唐平,倉,七岡,tshang
841,見開唐平,岡,古郎,kang
842,心開唐平,桑,息郎,sang
843,溪開唐平,康,苦岡,khang
844,曉合唐平,荒,呼光,hwang
845,匣合唐平,黃,胡光,ghwang
846,見合唐平,光,古黃,kwang
847,透開唐平,湯,吐郎,thang
848,滂唐平,滂,普郎,phang
849,影合唐平,汪,烏光,qwang
850,影開唐平,鴦,烏郎,qang
851,曉開唐平,炕,呼郎,hang
852,匣開唐平,航,胡郎,ghang
853,明唐平,茫,莫郎,mang
854,精開唐平,臧,則郎,tsang
855,泥開唐平,囊,奴當,nang
856,並唐平,傍,步光,bang
857,疑開唐平,卬,五剛,ngang
858,從開唐平,藏,昨郎,dzang
859,溪合唐平,䯑,苦光,khwang
860,幫唐平,幫,博旁,pang
861,見開二庚平,庚,古行,kaeng
862,溪開二庚平,阬,客庚,khaeng
863,明二庚平,盲,武庚,maeng
864,匣合二庚平,橫,戶盲,ghwaeng
865,幫二庚平,閍,甫盲,paeng
866,曉合二庚平,諻,虎橫,hwaeng
867,見合二庚平,觵,古橫,kwaeng
868,並二庚平,彭,薄庚,baeng
869,曉開二庚平,脝,許庚,haeng
870,徹開二庚平,瞠,丑庚,trhaeng
871,初開二庚平,鎗,楚庚,tsrhaeng
872,崇開二庚平,傖,助庚,dzraeng
873,影開三庚平,霙,於驚,qyaeng
874,滂二庚平,磅,撫庚,phaeng
875,並三庚平,平,符兵,byaeng
876,見開三庚平,驚,舉卿,kyaeng
877,明三庚平,明,武兵,myaeng
878,澄開二庚平,棖,直庚,draeng
879,知開二庚平,趟,竹盲,traeng
880,云合三庚平,榮,永兵,uaeng
881,幫三庚平,兵,甫明,pyaeng
882,曉合三庚平,兄,許榮,huaeng
883,溪開三庚平,卿,去京,khyaeng
884,生開三庚平,生,所庚,sryaeng
885,羣開三庚平,擎,渠京,gyaeng
886,疑開三庚平,迎,語京,ngyaeng
887,匣開二庚平,行,戶庚,ghaeng
888,孃開二庚平,鬤,乃庚,nraeng
889,見開耕平,耕,古莖,keeng
890,溪開耕平,鏗,口莖,kheeng
891,明耕平,甍,莫耕,meeng
892,幫耕平,浜,布耕,peeng
893,匣合耕平,宏,戶萌,ghweeng
894,匣開耕平,莖,戶耕,gheeng
895,知開耕平,朾,中莖,treeng
896,影開耕平,甖,烏莖,qeeng
897,崇開耕平,崢,士耕,dzreeng
898,初開耕平,琤,楚耕,tsrheeng
899,孃開耕平,儜,女耕,nreeng
900,滂耕平,怦,普耕,pheeng
901,曉合耕平,轟,呼宏,hweeng
902,幫耕平,繃,北萌,peeng
903,澄開耕平,橙,宅耕,dreeng
904,影合耕平,泓,烏宏,qweeng
905,並耕平,輣,薄萌,beeng
906,疑開耕平,娙,五莖,ngeeng
907,莊開耕平,爭,側莖,tsreeng
908,清開清平,清,七情,tshiaeng
909,從開清平,情,疾盈,dziaeng
910,精開清平,精,子盈,tsiaeng
911,以開清平,盈,以成,jiaeng
912,以合清平,營,余傾,jwiaeng
913,影開清平,嬰,於盈,qiaeng
914,知開清平,貞,陟盈,triaeng
915,徹開清平,檉,丑貞,trhiaeng
916,常開清平,成,是征,djiaeng
917,澄開清平,呈,直貞,driaeng
918,書開清平,聲,書盈,sjiaeng
919,章開清平,征,諸盈,tjiaeng
920,溪開清平,輕,去盈,khiaeng
921,明清平,名,武并,miaeng
922,來開清平,跉,呂貞,liaeng
923,幫清平,并,府盈,piaeng
924,溪合清平,傾,去營,khwiaeng
925,邪開清平,𩛿,徐盈,ziaeng
926,影合清平,縈,於營,qwiaeng
927,羣合清平,瓊,渠營,gwiaeng
928,心合清平,騂,息營,swiaeng
929,羣開清平,頸,巨成,giaeng
930,曉合清平,𧵣,火營,hwiaeng
931,清開青平,青,倉經,tsheng
932,見開青平,經,古靈,keng
933,匣開青平,㓝,戶經,gheng
934,定開青平,庭,特丁,deng
935,端開青平,丁,當經,teng
936,曉開青平,馨,呼刑,heng
937,心開青平,星,桑經,seng
938,滂青平,竮,普丁,pheng
939,來開青平,靈,郎丁,leng
940,泥開青平,寧,奴丁,neng
941,透開青平,汀,他丁,theng
942,明青平,冥,莫經,meng
943,並青平,瓶,薄經,beng
944,匣合青平,熒,戶扃,ghweng
945,見合青平,扃,古螢,kweng
946,章開蒸平,蒸,煑仍,tjyng
947,常開蒸平,承,署陵,djyng
948,澄開蒸平,澂,直陵,dryng
949,來開蒸平,陵,力膺,lyng
950,影開蒸平,膺,於陵,qyng
951,並蒸平,凭,扶冰,bying
952,幫蒸平,冫,筆陵,pying
953,以開蒸平,蠅,余陵,jyng
954,船開蒸平,繩,食陵,zjyng
955,書開蒸平,升,識蒸,sjyng
956,日開蒸平,仍,如乘,njyng
957,見開蒸平,兢,居陵,kyng
958,知開蒸平,徵,陟陵,tryng
959,從開蒸平,繒,疾陵,dzyng
960,疑開蒸平,凝,魚陵,ngyng
961,曉開蒸平,興,虛陵,hyng
962,昌開蒸平,稱,處陵,tjhyng
963,羣開蒸平,殑,其矜,gyng
964,生開蒸平,㱡,山矜,sryng
965,溪開B蒸平,硱,綺兢,khying
966,徹開蒸平,僜,丑升,trhyng
967,崇開蒸平,磳,仕兢,dzryng
968,滂蒸平,砯,披冰,phying
969,端開登平,登,都滕,teong
970,來開登平,楞,魯登,leong
971,心開登平,僧,蘇增,seong
972,幫登平,崩,北滕,peong
973,精開登平,增,作滕,tseong
974,明登平,瞢,武登,meong
975,從開登平,層,昨棱,dzeong
976,並登平,朋,步崩,beong
977,匣合登平,弘,胡肱,ghweong
978,見合登平,肱,古弘,kweong
979,曉合登平,薨,呼肱,hweong
980,泥開登平,能,奴登,neong
981,定開登平,騰,徒登,deong
982,匣開登平,恆,胡登,gheong
983,見開登平,揯,古恆,keong
984,透開登平,鼟,他登,theong
985,滂登平,漰,普朋,pheong
986,云尤平,尤,羽求,u
987,影尤平,憂,於求,qu
988,來尤平,劉,力求,lu
989,清尤平,秋,七由,tshu
990,以尤平,猷,以周,ju
991,疑尤平,牛,語求,ngu
992,精尤平,遒,即由,tsu
993,從尤平,酋,自秋,dzu
994,心尤平,脩,息流,su
995,徹尤平,抽,丑鳩,trhu
996,溪B幽平,𠁫,去秋,khyiw
997,昌尤平,犫,赤周,tjhu
998,章尤平,周,職流,tju
999,常尤平,讎,市流,dju
1000,日尤平,柔,耳由,nju
1001,書尤平,收,式州,sju
1002,溪尤平,丘,去鳩,khu
1003,滂尤平,䬌,匹尤,phu
1004,見尤平,鳩,居求,ku
1005,幫尤平,不,甫鳩,pu
1006,生尤平,𢯱,所鳩,sru
1007,初尤平,搊,楚鳩,tsrhu
1008,莊尤平,鄒,側鳩,tsru
1009,崇尤平,愁,士尤,dzru
1010,曉尤平,休,許尤,hu
1011,邪尤平,囚,似由,zu
1012,澄尤平,儔,直由,dru
1013,知尤平,輈,張流,tru
1014,羣尤平,𧚍,巨鳩,gu
1015,並尤平,浮,縛謀,bu
1016,明尤平,謀,莫浮,mu
1017,匣侯平,侯,戶鉤,ghou
1018,影侯平,謳,烏侯,qou
1019,泥侯平,羺,奴鉤,nou
1020,來侯平,樓,落侯,lou
1021,心侯平,涑,速侯,sou
1022,溪侯平,彄,恪侯,khou
1023,曉侯平,齁,呼侯,hou
1024,精侯平,𣠏,子侯,tsou
1025,透侯平,偷,託侯,thou
1026,定侯平,頭,度侯,dou
1027,疑侯平,齵,五婁,ngou
1028,見侯平,鉤,古侯,kou
1029,端侯平,兜,當侯,tou
1030,從侯平,㔌,徂鉤,dzou
1031,並侯平,裒,薄侯,bou
1032,清侯平,䜅,千侯,tshou
1033,明侯平,呣,亡侯,mou
1034,影幽平,幽,於虯,qiw
1035,羣幽平,虯,渠幽,giw
1036,幫幽平,彪,甫烋,pyiw
1037,來幽平,鏐,力幽,liw
1038,見幽平,樛,居虯,kiw
1039,並幽平,淲,皮彪,byiw
1040,精之平,稵,子絲,tsy
1041,心覃平,犙,山函,som
1042,疑幽平,聱,語虯,ngiw
1043,曉幽平/曉B幽平,飍/烋,香幽,hiw/hyiw
1044,明幽平,繆,武彪,myiw
1045,清侵平,侵,七林,tshim
1046,邪侵平,尋,徐林,zim
1047,來侵平,林,力尋,lim
1048,徹侵平,琛,丑林,trhim
1049,章侵平,斟,職深,tjim
1050,澄侵平,沈,直深,drim
1051,知侵平,碪,知林,trim
1052,常侵平,諶,氏任,djim
1053,日侵平,任,如林,njim
1054,書侵平,深,式針,sjim
1055,以侵平,淫,餘針,jim
1056,心侵平,心,息林,sim
1057,影A侵平,愔,挹淫,qim
1058,精侵平,祲,子心,tsim
1059,從侵平,𩷒,昨淫,dzim
1060,孃侵平,䛘,女心,nrim
1061,羣B侵平,琴,巨金,gyim
1062,溪B侵平,欽,去金,khyim
1063,疑B侵平,吟,魚金,ngyim
1064,曉B侵平,歆,許金,hyim
1065,見B侵平,金,居吟,kyim
1066,影B侵平,音,於金,qyim
1067,生侵平,森,所今,sryim
1068,崇侵平,岑,鋤針,dzryim
1069,莊侵平,兂,側吟,tsryim
1070,初侵平,嵾,楚簪,tsrhyim
1071,昌侵平,𧡪,充針,tjhim
1072,定覃平,覃,徒含,dom
1073,清覃平,參,倉含,tshom
1074,泥覃平,南,那含,nom
1075,影覃平,諳,烏含,qom
1076,匣覃平,含,胡男,ghom
1077,來覃平,婪,盧含,lom
1078,從覃平,蠶,昨含,dzom
1079,精覃平,簪,作含,tsom
1080,透覃平,探,他含,thom
1081,端覃平,耽,丁含,tom
1082,溪覃平,龕,口含,khom
1083,曉覃平,㟏,火含,hom
1084,心覃平,毿,蘇含,som
1085,見覃平,弇,古南,kom
1086,疑覃平,䜙,五含,ngom
1087,定談平,談,徒甘,dam
1088,見談平,甘,古三,kam
1089,端談平,擔,都甘,tam
1090,心談平,三,蘇甘,sam
1091,來談平,藍,魯甘,lam
1092,溪談平,坩,苦甘,kham
1093,透談平,舑,他酣,tham
1094,從談平,慙,昨甘,dzam
1095,匣談平,酣,胡甘,gham
1096,明談平,姏,武酣,mam
1097,精談平,𩈻,作三,tsam
1098,曉談平,蚶,呼談,ham
1099,以鹽平,鹽,余廉,jiem
1100,來鹽平,廉,力鹽,liem
1101,幫B鹽平,砭,府廉,pyem
1102,心鹽平,銛,息廉,siem
1103,清鹽平,籤,七廉,tshiem
1104,章鹽平,詹,職廉,tjiem
1105,常鹽平,棎,視占,djiem
1106,書鹽平,苫,失廉,sjiem
1107,昌鹽平,䪜,處占,tjhiem
1108,日鹽平,𩓾,汝鹽,njiem
1109,孃鹽平,黏,女廉,nriem
1110,云鹽平,炎,于廉,yem
1111,知鹽平,霑,張廉,triem
1112,徹鹽平,覘,丑廉,trhiem
1113,影B鹽平,淹,央炎,qyem
1114,溪B鹽平,𢜩,丘廉,khyem
1115,疑B鹽平,𪙊,語廉,ngyem
1116,精鹽平,尖,子廉,tsiem
1117,從鹽平,潛,昨鹽,dziem
1118,羣B鹽平,箝,巨淹,gyem
1119,影A鹽平,懕,一鹽,qiem
1120,邪鹽平,燅,徐鹽,ziem
1121,生鹽平,襳,史炎,sryem
1122,澄鹽平,㶣,直廉,driem
1123,羣A鹽平,鍼,巨鹽,giem
1124,透添平,添,他兼,them
1125,端添平,𩬑,丁兼,tem
1126,定添平,甜,徒兼,dem
1127,來添平,鬑,勒兼,lem
1128,溪添平,謙,苦兼,khem
1129,見添平,兼,古甜,kem
1130,匣添平,嫌,戶兼,ghem
1131,泥添平,鮎,奴兼,nem
1132,曉添平,馦,許兼,hem
1133,匣咸平,咸,胡讒,gheem
1134,見咸平,緘,古咸,keem
1135,生咸平,攕,所咸,sreem
1136,影咸平,𤟟,乙咸,qeem
1137,疑咸平,嵒,五咸,ngeem
1138,曉咸平,㰹,許咸,heem
1139,知咸平,詀,竹咸,treem
1140,孃咸平,諵,女咸,nreem
1141,崇咸平,讒,士咸,dzreem
1142,溪咸平,鵮,苦咸,kheem
1143,匣銜平,銜,戶監,ghaem
1144,崇銜平,巉,鋤銜,dzraem
1145,疑銜平,巖,五銜,ngaem
1146,初銜平,攙,楚銜,tsrhaem
1147,生銜平,衫,所銜,sraem
1148,見銜平,監,古銜,kaem
1149,並銜平,𨂝,白銜,baem
1150,溪銜平,嵌,口銜,khaem
1151,疑嚴平,嚴,語𩏩,ngyom
1152,曉嚴平,𩏩,虛嚴,hyom
1153,影嚴平,醃,於嚴,qyom
1154,溪嚴平,㪁,丘嚴,khyom
1155,並凡平,凡,符䒦,buom
1156,滂凡平,䒦,匹凡,phuom
1157,端一東上,董,多動,toungq
1158,明一東上,蠓,莫孔,moungq
1159,溪一東上,孔,康董,khoungq
1160,心一東上,㪌,先孔,soungq
1161,透一東上,侗,他孔,thoungq
1162,精一東上,總,作孔,tsoungq
1163,匣一東上,澒,胡孔,ghoungq
1164,影一東上,蓊,烏孔,qoungq
1165,泥一東上,𨑊,奴動,noungq
1166,幫一東上,琫,邊孔,poungq
1167,來一東上,曨,力董,loungq
1168,曉一東上,嗊,呼孔,houngq
1169,定一東上,動,徒摠,doungq
1170,並一東上,菶,蒲蠓,boungq
1171,章鍾上,腫,之隴,tjuongq
1172,徹鍾上,寵,丑隴,trhuongq
1173,來鍾上,隴,力踵,luongq
1174,影鍾上,擁,於隴,quongq
1175,日鍾上,宂,而隴,njuongq
1176,澄鍾上,重,直隴,druongq
1177,知鍾上,冢,知隴,truongq
1178,並鍾上,奉,扶隴,buongq
1179,滂鍾上,捧,敷奉,phuongq
1180,以鍾上,勇,余隴,juongq
1181,溪鍾上,恐,丘隴,khuongq
1182,常鍾上,尰,時宂,djuongq
1183,見鍾上,拱,居悚,kuongq
1184,心鍾上,悚,息拱,suongq
1185,曉鍾上,洶,許拱,huongq
1186,幫鍾上,覂,方勇,puongq
1187,端冬上,湩,都𪁪,tongq
1188,明冬上,𪁪,莫湩,mongq
1189,羣鍾上,䅃,渠隴,guongq
1190,昌鍾上,𨿿,充隴,tjhuongq
1191,清鍾上,幒,且勇,tshuongq
1192,精鍾上,䙕,子冢,tsuongq
1193,見江上,講,古項,koeungq
1194,並江上,㭋,步項,boeungq
1195,影江上,慃,烏項,qoeungq
1196,明江上,𠈵,武項,moeungq
1197,匣江上,項,胡講,ghoeungq
1198,幫江上,𦂌,巴講,poeungq
1199,曉江上,傋,虛慃,hoeungq
1200,章開支上,紙,諸氏,tjieq
1201,常開支上,是,承紙,djieq
1202,明B支上,靡,文彼,myeq
1203,幫B支上,彼,甫委,pyeq
1204,並B支上,被,皮彼,byeq
1205,曉合B支上,毀,許委,hueq
1206,影合B支上,委,於詭,queq
1207,溪合B支上,跪,去委,khueq
1208,見合B支上,詭,過委,kueq
1209,心合支上,髓,息委,swieq
1210,來合支上,絫,力委,lwieq
1211,羣開B支上,技,渠綺,gyeq
1212,影開B支上,倚,於綺,qyeq
1213,見開B支上,掎,居綺,kyeq
1214,溪開B支上,綺,墟彼,khyeq
1215,疑開B支上,螘,魚倚,ngyeq
1216,云合支上,蔿,韋委,ueq
1217,精合支上,觜,即委,tswieq
1218,日合支上,蘂,如累,njwieq
1219,清開支上,此,雌氏,tshieq
1220,澄開支上,豸,池爾,drieq
1221,心開支上,徙,斯氏,sieq
1222,以開支上,酏,移爾,jieq
1223,來開支上,邐,力紙,lieq
1224,生開支上,躧,所綺,sryeq
1225,幫A支上,𢔌,并弭,pieq
1226,日開支上,爾,兒氏,njieq
1227,明A支上,渳,綿婢,mieq
1228,並A支上,婢,便俾,bieq
1229,昌開支上,侈,尺氏,tjhieq
1230,書開支上,弛,施是,sjieq
1231,精開支上,紫,將此,tsieq
1232,章合支上,捶,之累,tjwieq
1233,初合支上,揣,初委,tsrhueq
1234,邪合支上,𤢍,隨婢,zwieq
1235,船開支上,舓,神帋,zjieq
1236,莊開支上,㧗,側氏,tsryeq
1237,滂B支上,㱟,匹靡,phyeq
1238,滂A支上,諀,匹婢,phieq
1239,以合支上,䓈,羊捶,jwieq
1240,從合支上,惢,才捶,dzwieq
1241,溪合A支上,跬,丘弭,khwieq
1242,孃開支上,狔,女氏,nrieq
1243,疑合B支上,硊,魚毀,ngueq
1244,羣合B支上,跪,渠委,gueq
1245,徹開支上,褫,敕豸,trhieq
1246,知開支上,㨖,陟侈,trieq
1247,曉開B支上,𪖥,興倚,hyeq
1248,溪開A支上,企,丘弭,khieq
1249,常合支上,菙,時髓,djwieq
1250,見開A支上,枳,居帋,kieq
1251,章開脂上,旨,職雉,tjiq
1252,常開脂上,視,承矢,djiq
1253,明B脂上,美,無鄙,myiq
1254,幫B脂上,鄙,方美,pyiq
1255,邪開脂上,兕,徐姊,ziq
1256,見開B脂上,几,居履,kyiq
1257,精開脂上,姊,將几,tsiq
1258,幫A脂上,匕,卑履,piq
1259,見合B脂上,軌,居洧,kuiq
1260,云合脂上,洧,榮美,uiq
1261,書開脂上,矢,式視,sjiq
1262,澄開脂上,雉,直几,driq
1263,心開脂上,死,息姊,siq
1264,並A脂上,牝,扶履,biq
1265,來開脂上,履,力几,liq
1266,書合脂上,水,式軌,sjwiq
1267,來合脂上,壘,力軌,lwiq
1268,羣合A脂上,揆,求癸,gwiq
1269,清合脂上,趡,千水,tshwiq
1270,孃開脂上,柅,女履,nriq
1271,見合A脂上,癸,居誄,kwiq
1272,並B脂上,否,符鄙,byiq
1273,從合脂上,㠑,徂累,dzwiq
1274,滂B脂上,嚭,匹鄙,phyiq
1275,日合脂上,蕊,如壘,njwiq
1276,以合脂上,唯,以水,jwiq
1277,影開B脂上,㰻,於几,qyiq
1278,精合脂上,濢,遵誄,tswiq
1279,知開脂上,黹,豬几,triq
1280,徹開脂上,𡳭,楮几,trhiq
1281,章開脂上,𧿲,止姊,tjiq
1282,曉合A脂上,䁤,火癸,hwiq
1283,羣合B脂上,䣀,暨軌,guiq
1284,羣開B脂上,跽,暨几,gyiq
1285,溪合B脂上,巋,丘軌,khuiq
1286,章之上,止,諸市,tjyq
1287,常之上,市,時止,djyq
1288,知之上,徵,陟里,tryq
1289,曉之上,喜,虛里,hyq
1290,見之上,紀,居理,kyq
1291,以之上,以,羊己,jyq
1292,邪之上,似,詳里,zyq
1293,生之上,史,疎士,sryq
1294,日之上,耳,而止,njyq
1295,來之上,里,良士,lyq
1296,心之上,枲,胥里,syq
1297,書之上,始,詩止,sjyq
1298,澄之上,歭,直里,dryq
1299,溪之上,起,墟里,khyq
1300,崇之上,士,鉏里,dzryq
1301,俟之上,俟,牀史,zryq
1302,精之上,子,即里,tsyq
1303,云之上,矣,于紀,yq
1304,疑之上,擬,魚紀,ngyq
1305,昌之上,齒,昌里,tjhyq
1306,徹之上,恥,敕里,trhyq
1307,初之上,㓼,初紀,tsrhyq
1308,莊之上,滓,阻史,tsryq
1309,影之上,譩,於擬,qyq
1310,孃之上,伱,乃里,nryq
1311,明微上,尾,無匪,mujq
1312,影開微上,扆,於豈,qyjq
1313,溪開微上,豈,袪豨,khyjq
1314,見開微上,蟣,居豨,kyjq
1315,滂微上,斐,敷尾,phujq
1316,幫微上,匪,府尾,pujq
1317,云合微上,韙,于鬼,ujq
1318,見合微上,鬼,居偉,kujq
1319,曉合微上,虺,許偉,hujq
1320,疑開微上,顗,魚豈,ngyjq
1321,曉開微上,豨,虛豈,hyjq
1322,影合微上,磈,於鬼,qujq
1323,並微上,膹,浮鬼,bujq
1324,疑魚上,語,魚巨,ngyoq
1325,來魚上,呂,力舉,lyoq
1326,澄魚上,佇,直呂,dryoq
1327,以魚上,與,余呂,jyoq
1328,章魚上,䰞,章与,tjyoq
1329,日魚上,汝,人渚,njyoq
1330,書魚上,暑,舒呂,sjyoq
1331,昌魚上,杵,昌與,tjhyoq
1332,知魚上,貯,丁呂,tryoq
1333,心魚上,諝,私呂,syoq
1334,徹魚上,楮,丑呂,trhyoq
1335,孃魚上,女,尼呂,nryoq
1336,曉魚上,許,虛呂,hyoq
1337,羣魚上,巨,其呂,gyoq
1338,生魚上,所,疎舉,sryoq
1339,初魚上,楚,創舉,tsrhyoq
1340,莊魚上,阻,側呂,tsryoq
1341,崇魚上,齟,牀呂,dzryoq
1342,從魚上,咀,慈呂,dzyoq
1343,影魚上,𢮁,於許,qyoq
1344,見魚上,舉,居許,kyoq
1345,邪魚上,敘,徐呂,zyoq
1346,溪魚上,去,羌舉,khyoq
1347,船魚上,紓,神與,zjyoq
1348,常魚上,野,承與,djyoq
1349,清魚上,𤿚,七與,tshyoq
1350,精魚上,苴,子與,tsyoq
1351,疑虞上,麌,虞矩,nguoq
1352,云虞上,羽,王矩,uoq
